StreetAddress,City,State,Zip
9301 PINECROFT DR,THE WOODLANDS,TX,77380
27720 A TOMBALL PKY,TOMBALL,TX,77375
1405 VICTORIA STA DR,VICTORIA,TX,77901
301 EAST AIRLINE ROAD,VICTORIA,TX,77901
910 UTAH,WESLACO,TX,78596
941 SOUTH WESTGATE WAY,WYLIE,TX,75098
1301 BARBARA  JORDAN BLVD,AUSTIN,TX,78723
4731 N.E. STALLINGS,NACOGDOCHES,TX,75965
200 MEDICAL CENTER COURT SUITE 200,BAY CITY,TX,77414
1105 AVE H,BAY CITY,TX,77414
1085 S. 23RD STREET,BEAUMONT,TX,77707
930 MARVIN HANCOCK DRIVE,JASPER,TX,75951
405 THIS WAY STREET,LAKE JACKSON,TX,77566
6518 MEMORIAL DRIVE,TEXAS CITY,TX,77591
712  W. BLUFF ST.,WOODVILLE,TX,75979
1915 S COULTER STREET SUITE B,AMARILLO,TX,79106
203 W RANDOL MILL RD,ARLINGTON,TX,76011
605 NORTHWEST PARKWAY,AZLE,TX,76020
1595 SOUTH MAIN SUITE 107,BOERNE,TX,78006
12201 BEAR PLAZA,BURLESON,TX,76028
400 EAST STATE HIGHWAY 243 SUITE 14,CANTON,TX,75103
1206 N. HENDERSON,CLEBURNE,TX,76033
3420 AMY STRET,EAGLE PASS,TX,78852
206 CONQUEST BLVD,EDINBURG,TX,78539
400 E. EDINBURG BLVD,ELSA,TX,78543
501 COLLEGE AVENUE,FORT WORTH,TX,76104
5127 OLD GRANBURY ROAD,FORT WORTH,TX,76133
1978 EPHRIHAM AVENUE,FORT WORTH,TX,76164
4201 E BERRY,FORT WORTH,TX,76105
501 COLLEGE AVENUE,FORT WORTH,TX,76104
6450 BRENTWOOD STAIR RD,FORT WORTH,TX,76112
3324 FM 528,FRIENDSWOOD,TX,77546
3301 E HIGHWAY 377 SUITE 170,GRANBURY,TX,76049
1006 NORTH CARRIER PARKWAY,GRAND PRAIRIE,TX,75050
4302 SESAME DRIVE,HARLINGEN,TX,78550
3202 AVE G,HONDO,TX,78861
1313  LA CONCHA,HOUSTON,TX,77054
6120 SCOTT STREET SUITE F,HOUSTON,TX,77021
7243 BISSONNET STREET  SUITE A,HOUSTON,TX,77074
24006 HIGHWAY 59 NORTH,KINGWOOD,TX,77339
6801 MCPHERSON ROAD,LAREDO,TX,78041
4602 BENCHA ROAD,LAREDO,TX,78041
3801 21ST STREET,LUBBOCK,TX,79410
14832 MAIN STREET,LYTLE,TX,78052
1800 HWY 157 N.,MANSFIELD,TX,76063
1301 EAST RIDGE ROAD,MCALLEN,TX,78503
2000 S. CYNTHIA STREET,MCALLEN,TX,78503
2611 HIGHWAY 180 WEST,MINERAL WELLS,TX,76067
1300 SOUTH BRYAN ROAD,MISSION,TX,78572
6455 HILLTOP DR  SUITE 112,NORTH RICHLAND HILLS,TX,76180
1320 WEST OAKLAWN SUITE G & H,PLEASANTON,TX,78064
2787 PHARMACY RD,RIO GRANDE CITY,TX,78582
1515 PLEASANTON ROAD,SAN ANTONIO,TX,78221
2011 E. HOUSTON SUITE 102D,SAN ANTONIO,TX,78202
7171  HWY 90 WEST,SAN ANTONIO,TX,78227
7180 BANDERA ROAD,SAN ANTONIO,TX,78238
343 WEST HOUSTON STREET,SAN ANTONIO,TX,78205
11212 STATE HWY 151,SAN ANTONIO,TX,78251
295 NORTH SAM HOUSTON,SAN BENITO,TX,78586
5000 BAPTIST HEALTH DR,SHERTZ,TX,78154
504 SANTE FE,WEATHERFORD,TX,76086
1005 S. AIRPORT DRIVE,WESLACO,TX,78596
1704 SOUTH CHERRY LANE SUITE 200,WHITE SETTLEMENT,TX,76108
100 WEST HUNTINGTON,BEEVILLE,TX,78102
1612 NORTH TEXAS,BRYAN,TX,77803
7502 SOUTH PADRE ISLAND DRIVE,CORPUS CHRISTI,TX,78412
10737 GATEWAY W STE 100,EL PASO,TX,79935
3100 N. STANTON,EL PASO,TX,79902
802 GUADALUPE ST,LAREDO,TX,78040
4151 JAIME ZAPATA MEMORIAL HWY,LAREDO,TX,78046
5501 SPRINGFIELD AVENUE,LAREDO,TX,78041
10651 NORTH LOOP,SOCORRO,TX,79927
1138 S. BOWEN RD,ARLINGTON,TX,76013
1600 CENTRAL DR,BEDFORD,TX,76022
110 SOUTHPARK DRIVE,BROWNWOOD,TX,76801
3501 EXECUTIVE DR,SAN ANGELO,TX,76904
2755 LIBERTY,BEAUMONT,TX,77702
1301 S MARTIN LUTHER KING DR,ORANGE,TX,77630
6411 FANNIN ST,HOUSTON,TX,77030
1032 SANDY LANE,FORT WORTH,TX,76120
5601 LOCKE AVENUE,FORT WORTH,TX,76107
3965 PHELAN BLVD,BEAUMONT,TX,77707
3050 LIBERTY ST.,BEAUMONT,TX,77702
4240 INTERNATIONAL PARKWAY,CARROLLTON,TX,75007
6200 LBJ FREEWAY SUITE 100,DALLAS,TX,75240
4309 MESA DR,DENTON,TX,76207
251 UNIVERSITY DR,FORT WORTH,TX,76107
10850 FRISCO ST SUITE 300,FRISCO,TX,75034
1600 WATERS RIDGE DRIVE,LEWISVILLE,TX,75057
6331 BOULEVARD 26,NORTH RICHLAND HILLS,TX,76180
280 STRICKLAND DRIVE,ORANGE,TX,77630
4112 W SPRING CREEK PARKWAY,PLANO,TX,75024
3730 DRYDEN RD,PORT ARTHUR,TX,77642
8797 9TH AVENUE,PORT ARTHUR,TX,77642
510  S. SW LOOP 323,TYLER,TX,75702
2895 SHILOH ROAD,TYLER,TX,75703
7647 SOUTH FREEWAY,HOUSTON,TX,77021
8800 BISSONNET,HOUSTON,TX,77074
7112 STUEBNER AIRLINE DRIVE,HOUSTON,TX,77091
1201 ELLIS AVE,LUFKIN,TX,75901
